total_shots_home,total_shots_away,shots_on_target_ratio_home,shots_on_target_ratio_away,average_shots_on_target_distance_home,average_shots_on_target_distance_away,shots_high_xG_home,shots_high_xG_away,shots_inside_area_home,shots_inside_area_away,shots_inside_area_ratio_home,shots_inside_area_ratio_away,shots_foot_home,shots_foot_away,shots_head_home,shots_head_away,shots_other_home,shots_other_away,total_passes_home,total_passes_away,pass_success_ratio_home,pass_success_ratio_away,key_passes_home,key_passes_away,passes_needed_to_make_a_shoot_home,passes_needed_to_make_a_shoot_away,crosses_home,crosses_away,cross_success_ratio_home,cross_success_ratio_away,corners_home,corners_away,interceptions_won_home,interceptions_won_away,recoveries_home,recoveries_away,blocks_home,blocks_away,duels_won_home,duels_won_away,tackles_home,tackles_away,tackles_success_ratio_home,tackles_success_ratio_away,fouls_committed_home,fouls_committed_away,50_50_won_home,50_50_won_away,clearances_home,clearances_away,penaltys_committed_home,penaltys_committed_away,key_errors_home,key_errors_away,miscontrols_home,miscontrols_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,pressures_home,pressures_away,counterpress_home,counterpress_away,pressures_in_attacking_third_home,pressures_in_attacking_third_away,offsides_home,offsides_away,dribbles_home,dribbles_away,dribbles_success_ratio_home,dribbles_success_ratio_away,injury_substitutions_home,injury_substitutions_away,players_off_home,players_off_away,dispossessed_home,dispossessed_away,counterattacks_home,counterattacks_away,possession_percentage_home,possession_percentage_away,recoveries_attacking_third_home,recoveries_attacking_third_away,recoveries_middle_third_home,recoveries_middle_third_away,recoveries_defensive_third_home,recoveries_defensive_third_away,shots_under_pressure_home,shots_under_pressure_away,shots_inside_area_under_pressure_home,shots_inside_area_under_pressure_away,passes_under_pressure_home,passes_under_pressure_away,passes_inside_area_under_pressure_home,passes_inside_area_under_pressure_away,set_piece_shots_home,set_piece_shots_away,set_piece_shots_inside_area_home,set_piece_shots_inside_area_away,set_piece_shots_on_target_ratio_home,set_piece_shots_on_target_ratio_away,substitutions_home,substitutions_away,tactical_substitutions_home,tactical_substitutions_away,tactical_changes_home,tactical_changes_away,formation_changes_home,formation_changes_away,last_3_matches_form_home,is_valid_last_3_matches_form_home,last_3_matches_form_away,is_valid_last_3_matches_form_away,win_rate_last_5_matches_home,is_valid_win_rate_last_5_matches_home,win_rate_last_5_matches_away,is_valid_win_rate_last_5_matches_away,win_last_home_match_home_team,is_valid_win_last_home_match_home_team,win_last_away_match_away_team,is_valid_win_last_away_match_away_team,goals_conceded_last_match_home,is_valid_goals_conceded_last_match_home,goals_conceded_last_match_away,is_valid_goals_conceded_last_match_away,goals_scored_last_match_home,is_valid_goals_scored_last_match_home,goals_scored_last_match_away,is_valid_goals_scored_last_match_away,std_shots_last_3_matches_home,is_valid_std_shots_last_3_matches_home,std_shots_last_3_matches_away,is_valid_std_shots_last_3_matches_away,winning_team
20,11,0.55,0.2727272727272727,13.818635115215635,16.473921952287416,7,1,16,3,0.8,0.2727272727272727,19,10,1,1,0,0,524,399,0.7843511450381679,0.7493734335839599,16,7,26.2,36.27272727272727,8,6,0.25,0.3333333333333333,7,1,7,9,0,1,17,18,15,13,27,19,0.5555555555555556,0.6842105263157895,7,14,0,0,24,21,0,0,1,0,8,12,2,3,0,0,130,176,27,30,20,58,5,0,21,14,0.7142857142857143,0.5714285714285714,0,0,0,0,15,21,2,2,0.6073092936155696,0.3926907063844303,1,4,3,3,3,3,6,2,6,0,74,45,3,2,11,7,8,1,0.6363636363636364,0.2857142857142857,5,2,5,2,1,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,home_team
10,14,0.3,0.5,26.520769549156658,12.53950955115984,1,2,3,11,0.3,0.7857142857142857,10,9,0,5,0,0,326,601,0.6871165644171779,0.8219633943427621,2,12,32.6,42.92857142857143,8,16,0.125,0.375,2,12,4,8,0,0,22,14,9,13,19,17,0.47368421052631576,0.7647058823529411,10,17,0,0,18,19,1,0,0,2,13,13,2,1,0,0,139,137,21,27,27,38,4,2,10,14,0.5,0.6428571428571429,0,0,0,0,13,16,4,3,0.38187212096935713,0.6181278790306428,1,0,1,5,2,3,1,3,1,3,42,77,0,3,8,12,2,10,0.125,0.4166666666666667,4,5,4,5,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,away_team
12,8,0.5,0.5,19.958508269891812,13.815125480820594,1,2,8,7,0.6666666666666666,0.875,9,4,3,4,0,0,503,464,0.757455268389662,0.6918103448275862,10,6,41.916666666666664,58.0,11,14,0.2727272727272727,0.2857142857142857,4,1,9,3,0,0,27,23,19,16,29,24,0.6551724137931034,0.6666666666666666,14,9,3,2,38,23,0,0,0,1,19,19,0,1,0,0,89,169,22,40,13,33,4,1,14,18,0.7142857142857143,0.4444444444444444,0,0,0,0,21,23,5,4,0.5370667079646562,0.46293329203534395,2,0,4,2,3,1,4,2,4,2,69,38,2,1,5,6,5,5,0.4,0.3333333333333333,5,4,5,4,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,draw
17,4,0.23529411764705882,0.25,14.614156621406805,15.33786165017797,2,0,10,3,0.5882352941176471,0.75,14,4,3,0,0,0,476,408,0.7605042016806722,0.6666666666666666,7,3,28.0,102.0,18,1,0.1111111111111111,1.0,2,0,3,4,0,0,28,21,15,14,20,19,0.75,0.7368421052631579,10,22,0,0,32,22,0,0,0,0,23,13,0,4,0,0,193,218,41,52,81,48,0,2,16,16,0.4375,0.875,0,0,0,0,12,18,7,7,0.5780055796873111,0.4219944203126889,1,0,2,2,0,2,4,2,2,2,124,91,3,1,11,2,7,2,0.18181818181818182,0.0,3,2,3,2,1,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,home_team
12,16,0.16666666666666666,0.3125,14.944672141544888,11.353418647003393,1,5,7,15,0.5833333333333334,0.9375,10,14,2,2,0,0,552,511,0.782608695652174,0.7945205479452054,11,10,46.0,31.9375,10,14,0.3,0.5714285714285714,5,5,2,3,0,0,26,21,15,15,20,19,0.75,0.7894736842105263,9,8,0,1,15,20,0,0,2,1,8,16,2,0,0,0,159,158,43,32,52,27,3,2,14,16,0.6428571428571429,0.5625,0,0,0,0,14,13,3,3,0.5147010046270197,0.4852989953729803,0,1,2,1,0,1,1,4,1,4,69,105,3,3,3,7,3,6,0.0,0.2857142857142857,3,4,3,4,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,draw
7,17,0.2857142857142857,0.35294117647058826,24.212752465607004,13.54641228121901,1,5,5,13,0.7142857142857143,0.7647058823529411,6,16,1,1,0,0,380,646,0.7631578947368421,0.846749226006192,2,11,54.285714285714285,38.0,5,17,0.0,0.29411764705882354,2,8,6,1,0,0,19,16,16,19,24,29,0.6666666666666666,0.6551724137931034,6,11,0,0,21,10,0,0,2,1,17,10,0,0,0,0,193,151,39,24,47,45,2,8,28,33,0.5,0.6363636363636364,0,0,0,0,15,14,4,4,0.39321081377073897,0.606789186229261,0,0,4,1,2,0,1,3,1,2,47,103,0,5,4,10,3,9,0.25,0.2,5,2,5,2,0,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,away_team
36,1,0.5555555555555556,0.0,13.858000396098651,120.0,7,0,25,1,0.6944444444444444,1.0,30,1,6,0,0,0,770,270,0.8597402597402597,0.6481481481481481,25,1,21.38888888888889,270.0,18,2,0.5,0.0,8,0,4,1,0,0,7,27,18,12,23,19,0.782608695652174,0.631578947368421,6,12,0,0,9,48,0,1,0,0,16,12,0,1,0,0,123,146,37,23,44,13,2,1,22,16,0.5909090909090909,0.625,0,0,0,0,10,17,2,3,0.7866600100024221,0.2133399899975778,1,0,2,1,1,0,4,0,3,0,67,56,2,0,18,0,13,0,0.5555555555555556,0.0,5,5,5,5,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,1,1,4,1,1,1,0,1,0.0,0,0.0,0,home_team
8,9,0.375,0.4444444444444444,13.872414790217766,25.587581878491548,3,0,5,2,0.625,0.2222222222222222,6,8,2,1,0,0,461,450,0.6984815618221258,0.6933333333333334,4,5,57.625,50.0,7,3,0.2857142857142857,0.3333333333333333,5,5,3,6,0,0,30,24,16,19,21,31,0.7619047619047619,0.6129032258064516,17,15,1,0,19,11,0,0,0,1,13,25,3,2,0,0,178,152,44,36,62,34,3,3,14,18,0.5714285714285714,0.7222222222222222,0,0,0,0,26,16,2,3,0.443993568109917,0.5560064318900829,1,1,0,3,2,2,2,2,2,1,72,99,1,1,6,7,3,2,0.16666666666666666,0.5714285714285714,4,5,4,5,1,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,1,1,1,4,1,1,1,0.0,0,0.0,0,home_team
6,25,0.5,0.48,23.77928684587369,16.993044647711297,1,5,4,17,0.6666666666666666,0.68,4,22,2,3,0,0,431,492,0.7354988399071926,0.806910569105691,4,18,71.83333333333333,19.68,6,12,0.3333333333333333,0.4166666666666667,1,6,6,1,0,0,22,20,17,19,30,35,0.5666666666666667,0.5428571428571428,12,13,1,0,11,14,0,0,3,1,8,16,0,0,0,0,189,146,38,31,35,43,3,3,17,24,0.4117647058823529,0.625,0,0,0,0,26,22,3,3,0.427462029013728,0.572537970986272,0,0,3,1,3,0,2,2,2,2,49,54,1,2,5,18,4,11,0.4,0.4444444444444444,2,4,2,4,1,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,2,1,1,1,0,1,1,1,0.0,0,0.0,0,away_team
15,7,0.26666666666666666,0.2857142857142857,17.18616684097383,21.65802348863882,5,0,11,2,0.7333333333333333,0.2857142857142857,13,6,2,1,0,0,690,348,0.8101449275362319,0.6436781609195402,10,4,46.0,49.714285714285715,19,9,0.42105263157894735,0.2222222222222222,7,1,0,0,0,0,24,30,9,9,15,22,0.6,0.4090909090909091,2,10,0,0,8,28,0,0,0,0,26,12,0,1,0,0,98,218,28,33,42,40,0,0,23,8,0.782608695652174,0.375,0,0,0,0,18,10,3,2,0.692887629720816,0.30711237027918414,0,0,0,0,0,0,1,2,1,0,97,62,5,1,8,3,5,1,0.25,0.6666666666666666,3,3,3,3,1,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,1,0,1,2,1,2,1,0.0,0,0.0,0,draw
25,8,0.52,0.25,18.599017450580018,13.12741740631703,5,1,14,5,0.56,0.625,24,6,1,2,0,0,383,335,0.7180156657963447,0.6656716417910448,15,6,15.32,41.875,12,10,0.5,0.5,4,3,4,5,0,0,16,23,28,16,44,24,0.6590909090909091,0.6666666666666666,14,14,1,0,30,17,1,1,0,0,13,14,2,2,0,0,216,187,59,38,68,35,8,0,16,35,0.6875,0.5714285714285714,0,0,0,0,20,29,7,5,0.535737568867257,0.464262431132743,0,0,3,2,1,3,3,0,2,0,98,53,3,3,15,6,8,4,0.5333333333333333,0.16666666666666666,1,5,1,5,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,6,1,2,1,1,1,0,1,0.0,0,0.0,0,home_team
