total_shots_home,total_shots_away,shots_on_target_ratio_home,shots_on_target_ratio_away,average_shots_on_target_distance_home,average_shots_on_target_distance_away,shots_high_xG_home,shots_high_xG_away,shots_inside_area_home,shots_inside_area_away,shots_inside_area_ratio_home,shots_inside_area_ratio_away,shots_foot_home,shots_foot_away,shots_head_home,shots_head_away,shots_other_home,shots_other_away,total_passes_home,total_passes_away,pass_success_ratio_home,pass_success_ratio_away,key_passes_home,key_passes_away,passes_needed_to_make_a_shoot_home,passes_needed_to_make_a_shoot_away,crosses_home,crosses_away,cross_success_ratio_home,cross_success_ratio_away,corners_home,corners_away,interceptions_won_home,interceptions_won_away,recoveries_home,recoveries_away,blocks_home,blocks_away,duels_won_home,duels_won_away,tackles_home,tackles_away,tackles_success_ratio_home,tackles_success_ratio_away,fouls_committed_home,fouls_committed_away,50_50_won_home,50_50_won_away,clearances_home,clearances_away,penaltys_committed_home,penaltys_committed_away,key_errors_home,key_errors_away,miscontrols_home,miscontrols_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,pressures_home,pressures_away,counterpress_home,counterpress_away,pressures_in_attacking_third_home,pressures_in_attacking_third_away,offsides_home,offsides_away,dribbles_home,dribbles_away,dribbles_success_ratio_home,dribbles_success_ratio_away,injury_substitutions_home,injury_substitutions_away,players_off_home,players_off_away,dispossessed_home,dispossessed_away,counterattacks_home,counterattacks_away,possession_percentage_home,possession_percentage_away,recoveries_attacking_third_home,recoveries_attacking_third_away,recoveries_middle_third_home,recoveries_middle_third_away,recoveries_defensive_third_home,recoveries_defensive_third_away,shots_under_pressure_home,shots_under_pressure_away,shots_inside_area_under_pressure_home,shots_inside_area_under_pressure_away,passes_under_pressure_home,passes_under_pressure_away,passes_inside_area_under_pressure_home,passes_inside_area_under_pressure_away,set_piece_shots_home,set_piece_shots_away,set_piece_shots_inside_area_home,set_piece_shots_inside_area_away,set_piece_shots_on_target_ratio_home,set_piece_shots_on_target_ratio_away,substitutions_home,substitutions_away,tactical_substitutions_home,tactical_substitutions_away,tactical_changes_home,tactical_changes_away,formation_changes_home,formation_changes_away,last_3_matches_form_home,is_valid_last_3_matches_form_home,last_3_matches_form_away,is_valid_last_3_matches_form_away,win_rate_last_5_matches_home,is_valid_win_rate_last_5_matches_home,win_rate_last_5_matches_away,is_valid_win_rate_last_5_matches_away,win_last_home_match_home_team,is_valid_win_last_home_match_home_team,win_last_away_match_away_team,is_valid_win_last_away_match_away_team,goals_conceded_last_match_home,is_valid_goals_conceded_last_match_home,goals_conceded_last_match_away,is_valid_goals_conceded_last_match_away,goals_scored_last_match_home,is_valid_goals_scored_last_match_home,goals_scored_last_match_away,is_valid_goals_scored_last_match_away,std_shots_last_3_matches_home,is_valid_std_shots_last_3_matches_home,std_shots_last_3_matches_away,is_valid_std_shots_last_3_matches_away,winner_team
12,17,0.3333333333333333,0.4117647058823529,21.121674550192274,26.790063362647352,1,0,6,5,0.5,0.29411764705882354,10,17,2,0,0,0,398,414,0.7160804020100503,0.7753623188405797,7,11,33.166666666666664,24.352941176470587,6,12,0.3333333333333333,0.3333333333333333,5,5,10,6,0,0,16,24,13,12,24,18,0.5416666666666666,0.6666666666666666,9,12,0,2,22,35,0,0,1,0,14,22,1,2,0,0,167,214,34,47,34,58,0,2,17,13,0.5882352941176471,0.5384615384615384,0,0,0,0,14,18,2,1,0.4755606494167439,0.5244393505832561,1,1,6,4,3,1,3,0,2,0,98,70,1,1,9,9,4,3,0.2222222222222222,0.6666666666666666,3,2,3,2,0,1,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,2,1,1,1,1,1,0,1,0.0,0,0.0,0,home_team
7,21,0.14285714285714285,0.42857142857142855,10.049875621120888,14.484714871003158,1,1,4,17,0.5714285714285714,0.8095238095238095,6,19,1,2,0,0,348,664,0.6982758620689655,0.8358433734939759,5,13,49.714285714285715,31.61904761904762,8,13,0.375,0.3076923076923077,3,11,4,3,0,0,20,13,10,10,19,15,0.5263157894736842,0.6666666666666666,13,6,2,1,24,6,0,0,0,0,17,21,1,3,0,0,174,170,24,48,21,65,2,3,6,12,0.8333333333333334,0.6666666666666666,0,0,0,0,14,15,3,2,0.35402944253363117,0.6459705574663688,0,1,2,2,2,0,1,4,1,3,79,98,0,3,4,15,1,11,0.0,0.3333333333333333,2,2,2,2,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,1,1,1,1,0,1,2,1,0.0,0,0.0,0,away_team
23,7,0.391304347826087,0.14285714285714285,19.26307845091582,42.573465914816005,4,0,14,4,0.6086956521739131,0.5714285714285714,22,5,1,2,0,0,478,348,0.7949790794979079,0.6896551724137931,15,3,20.782608695652176,49.714285714285715,12,12,0.3333333333333333,0.25,6,4,0,4,0,0,18,18,3,9,16,18,0.1875,0.5,9,12,0,0,22,28,0,1,0,0,18,19,1,3,0,0,156,282,32,48,37,35,3,4,25,19,0.64,0.5789473684210527,0,0,0,0,11,10,4,3,0.6256392531516606,0.3743607468483393,0,0,0,2,0,2,5,4,3,2,143,95,6,2,11,5,6,3,0.45454545454545453,0.2,2,3,2,3,1,0,1,0,0,0,0,0,0.0,0,0.0,0,0,1,0,1,1,1,1,1,0,1,0,1,0.0,0,0.0,0,home_team
16,17,0.25,0.4117647058823529,13.553155800861365,17.343592224558197,0,3,6,12,0.375,0.7058823529411765,14,13,1,4,1,0,433,613,0.6812933025404158,0.797716150081566,10,13,27.0625,36.05882352941177,10,15,0.0,0.4666666666666667,5,2,8,6,0,0,21,29,14,13,23,22,0.6086956521739131,0.5909090909090909,7,11,0,1,20,29,0,0,0,0,16,20,0,4,0,0,254,188,46,55,71,70,0,2,25,17,0.48,0.7647058823529411,0,0,0,0,11,19,4,4,0.4594328081403131,0.5405671918596869,0,1,4,3,4,2,2,2,2,2,96,138,0,0,8,11,5,8,0.375,0.2727272727272727,3,2,3,2,0,1,0,0,0,0,0,0,0.0,0,0.0,0,1,1,1,1,0,1,0,1,2,1,2,1,0.0,0,0.0,0,away_team
12,3,0.4166666666666667,0.3333333333333333,13.126965352033404,25.994230129011324,3,0,11,1,0.9166666666666666,0.3333333333333333,11,3,1,0,0,0,918,332,0.8877995642701525,0.7018072289156626,10,1,76.5,110.66666666666667,16,4,0.1875,0.0,8,1,5,16,0,0,25,17,15,9,18,16,0.8333333333333334,0.5625,1,13,0,0,7,19,0,0,0,0,12,11,0,2,0,0,152,219,45,20,65,17,2,1,17,23,0.47058823529411764,0.4782608695652174,0,0,0,0,10,6,1,2,0.7371235070546617,0.26287649294533844,2,2,3,5,0,9,3,0,3,0,132,41,1,0,5,1,4,0,0.2,1.0,3,3,3,3,2,3,0,1,0,0,0,0,0.0,0,0.0,0,1,1,0,1,0,1,1,1,1,1,1,1,0.0,0,0.0,0,home_team
15,12,0.13333333333333333,0.25,20.225179784419023,12.855180261117601,4,0,9,8,0.6,0.6666666666666666,12,8,3,4,0,0,399,313,0.7293233082706767,0.6645367412140575,9,8,26.6,26.083333333333332,19,5,0.631578947368421,0.8,5,2,3,5,0,0,15,15,10,10,18,25,0.5555555555555556,0.4,10,11,0,1,35,33,0,0,1,0,15,12,2,1,0,0,111,194,40,35,25,44,1,3,20,13,0.45,0.5384615384615384,0,0,0,0,15,12,3,3,0.5449261949804689,0.45507380501953104,0,1,1,2,2,2,1,2,1,2,79,64,1,3,12,8,8,7,0.16666666666666666,0.25,3,3,3,3,1,0,0,0,0,0,0,0,0.0,0,0.0,0,1,1,0,1,0,1,0,1,1,1,1,1,0.0,0,0.0,0,away_team
1,26,0.0,0.46153846153846156,120.0,14.912303726182358,0,3,0,19,0.0,0.7307692307692307,1,23,0,3,0,0,335,600,0.6955223880597015,0.8216666666666667,0,22,335.0,23.076923076923077,4,21,0.0,0.38095238095238093,2,14,7,9,0,0,23,9,8,9,15,13,0.5333333333333333,0.6923076923076923,5,10,1,3,41,15,0,0,0,0,8,10,1,0,0,0,167,114,21,26,16,57,1,3,10,17,0.5,0.5882352941176471,0,0,0,0,8,8,0,0,0.3362980184225526,0.6637019815774474,1,2,3,5,3,2,0,1,0,1,74,50,0,2,1,18,0,13,0.0,0.4444444444444444,2,3,2,3,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1,0,1,2,1,1,1,0,1,1,1,0.0,0,0.0,0,away_team
18,7,0.3888888888888889,0.2857142857142857,27.283722465134133,31.552391662883366,2,0,7,3,0.3888888888888889,0.42857142857142855,15,7,3,0,0,0,547,271,0.7678244972577697,0.5608856088560885,12,5,30.38888888888889,38.714285714285715,17,7,0.11764705882352941,0.0,9,2,2,7,1,0,18,27,14,13,16,20,0.875,0.65,8,12,0,0,23,54,0,1,0,1,17,11,0,1,0,0,123,180,42,30,44,29,1,0,31,11,0.4838709677419355,0.45454545454545453,0,0,0,0,7,11,2,2,0.6882453125059546,0.31175468749404545,1,1,1,4,1,2,2,3,1,2,75,83,0,1,12,2,5,1,0.3333333333333333,0.5,2,3,2,3,2,1,0,0,0,1,1,1,0.0,0,0.0,0,0,1,0,1,2,1,4,1,0,1,0,1,1.247219128924647,1,5.312459150169743,1,draw
15,25,0.3333333333333333,0.36,20.258020249523582,15.453357425436925,1,2,7,15,0.4666666666666667,0.6,14,25,1,0,0,0,354,313,0.6751412429378532,0.6900958466453674,11,17,23.6,12.52,10,20,0.4,0.45,6,5,2,3,0,0,15,26,9,10,18,21,0.5,0.47619047619047616,4,18,1,0,43,45,0,0,0,0,17,18,2,2,0,1,121,149,34,27,25,37,3,1,11,19,0.7272727272727273,0.6842105263157895,0,0,0,0,18,13,0,0,0.5256998193792966,0.47430018062070334,0,0,0,0,2,3,2,0,2,0,75,37,6,3,10,11,4,5,0.4,0.2727272727272727,3,3,3,3,2,0,1,0,6,1,3,1,0.0,0,0.0,0,1,1,0,1,0,1,0,1,2,1,2,1,5.792715732327589,1,7.318166133366716,1,away_team
16,9,0.3125,0.3333333333333333,10.82791387456005,7.020404076952169,3,4,8,7,0.5,0.7777777777777778,12,7,4,2,0,0,377,316,0.6472148541114059,0.6234177215189873,10,7,23.5625,35.111111111111114,15,7,0.13333333333333333,0.14285714285714285,8,2,5,6,1,0,19,20,15,8,29,24,0.5172413793103449,0.3333333333333333,20,14,1,0,30,51,1,0,0,0,15,18,1,3,0,0,124,167,38,45,35,43,6,3,20,26,0.45,0.38461538461538464,0,0,0,0,16,16,6,6,0.5516850068534198,0.44831499314658024,2,2,4,2,0,2,2,1,1,1,66,40,1,1,8,6,4,5,0.375,0.3333333333333333,3,3,3,3,0,0,0,0,3,1,6,1,0.0,0,0.0,0,0,1,1,1,2,1,1,1,0,1,0,1,3.5,1,3.39934634239519,1,home_team
