total_shots_home,total_shots_away,shots_on_target_ratio_home,shots_on_target_ratio_away,average_shots_on_target_distance_home,average_shots_on_target_distance_away,shots_high_xG_home,shots_high_xG_away,shots_inside_area_home,shots_inside_area_away,shots_inside_area_ratio_home,shots_inside_area_ratio_away,shots_foot_home,shots_foot_away,shots_head_home,shots_head_away,shots_other_home,shots_other_away,total_passes_home,total_passes_away,pass_success_ratio_home,pass_success_ratio_away,key_passes_home,key_passes_away,passes_needed_to_make_a_shoot_home,passes_needed_to_make_a_shoot_away,crosses_home,crosses_away,cross_success_ratio_home,cross_success_ratio_away,corners_home,corners_away,interceptions_won_home,interceptions_won_away,recoveries_home,recoveries_away,blocks_home,blocks_away,duels_won_home,duels_won_away,tackles_home,tackles_away,tackles_success_ratio_home,tackles_success_ratio_away,fouls_committed_home,fouls_committed_away,50_50_won_home,50_50_won_away,clearances_home,clearances_away,penaltys_committed_home,penaltys_committed_away,key_errors_home,key_errors_away,miscontrols_home,miscontrols_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,pressures_home,pressures_away,counterpress_home,counterpress_away,pressures_in_attacking_third_home,pressures_in_attacking_third_away,offsides_home,offsides_away,dribbles_home,dribbles_away,dribbles_success_ratio_home,dribbles_success_ratio_away,injury_substitutions_home,injury_substitutions_away,players_off_home,players_off_away,dispossessed_home,dispossessed_away,counterattacks_home,counterattacks_away,possession_percentage_home,possession_percentage_away,recoveries_attacking_third_home,recoveries_attacking_third_away,recoveries_middle_third_home,recoveries_middle_third_away,recoveries_defensive_third_home,recoveries_defensive_third_away,shots_under_pressure_home,shots_under_pressure_away,shots_inside_area_under_pressure_home,shots_inside_area_under_pressure_away,passes_under_pressure_home,passes_under_pressure_away,passes_inside_area_under_pressure_home,passes_inside_area_under_pressure_away,set_piece_shots_home,set_piece_shots_away,set_piece_shots_inside_area_home,set_piece_shots_inside_area_away,set_piece_shots_on_target_ratio_home,set_piece_shots_on_target_ratio_away,substitutions_home,substitutions_away,tactical_substitutions_home,tactical_substitutions_away,tactical_changes_home,tactical_changes_away,formation_changes_home,formation_changes_away,last_3_matches_form_home,is_valid_last_3_matches_form_home,last_3_matches_form_away,is_valid_last_3_matches_form_away,win_rate_last_5_matches_home,is_valid_win_rate_last_5_matches_home,win_rate_last_5_matches_away,is_valid_win_rate_last_5_matches_away,win_last_home_match_home_team,is_valid_win_last_home_match_home_team,win_last_away_match_away_team,is_valid_win_last_away_match_away_team,goals_conceded_last_match_home,is_valid_goals_conceded_last_match_home,goals_conceded_last_match_away,is_valid_goals_conceded_last_match_away,goals_scored_last_match_home,is_valid_goals_scored_last_match_home,goals_scored_last_match_away,is_valid_goals_scored_last_match_away,std_shots_last_3_matches_home,is_valid_std_shots_last_3_matches_home,std_shots_last_3_matches_away,is_valid_std_shots_last_3_matches_away,winning_team
30,4,0.4666666666666667,0.5,14.382781713527176,21.57402195706188,2,2,25,3,0.8333333333333334,0.75,26,2,4,2,0,0,635,298,0.8472440944881889,0.6778523489932886,19,2,21.166666666666668,74.5,20,5,0.35,0.2,11,2,1,13,0,0,11,17,11,21,20,31,0.55,0.6774193548387096,9,13,0,0,6,36,0,0,0,0,15,15,0,0,0,0,59,86,18,8,27,4,0,1,27,16,0.37037037037037035,0.6875,0,0,0,0,17,17,1,1,0.6902927619125941,0.3097072380874061,1,0,0,3,0,10,1,1,1,1,21,13,0,1,24,2,20,1,0.4166666666666667,0.5,3,2,3,2,1,1,1,0,9,1,3,1,1.0,1,0.2,1,1,1,0,1,0,1,4,1,4,1,1,1,4.189935029992178,1,6.599663291074443,1,home_team
7,14,0.2857142857142857,0.5,35.12440474840669,18.8467209654905,1,2,3,4,0.42857142857142855,0.2857142857142857,6,14,1,0,0,0,347,711,0.6887608069164265,0.869198312236287,2,11,49.57142857142857,50.785714285714285,8,10,0.25,0.3,2,2,4,6,0,0,20,15,22,16,33,24,0.6666666666666666,0.6666666666666666,7,7,0,0,21,24,0,0,0,0,15,17,0,0,0,0,111,78,13,27,39,20,4,2,14,16,0.5714285714285714,0.6875,0,0,0,0,20,28,0,0,0.29933925539870204,0.700660744601298,0,1,3,4,1,1,0,0,0,0,22,35,0,1,4,8,2,4,0.5,0.5,3,2,3,2,0,1,0,0,0,1,4,1,0.4,1,0.4,1,0,1,0,1,2,1,0,1,1,1,3,1,2.943920288775949,1,4.642796092394707,1,away_team
14,11,0.35714285714285715,0.36363636363636365,26.750641193732577,19.856627010062837,1,3,11,4,0.7857142857142857,0.36363636363636365,11,10,3,1,0,0,500,380,0.692,0.5973684210526315,10,6,35.714285714285715,34.54545454545455,5,12,0.4,0.3333333333333333,9,2,9,9,0,0,21,23,15,8,21,22,0.7142857142857143,0.4090909090909091,9,13,0,0,30,27,0,0,0,0,20,12,0,2,0,0,84,111,31,20,32,27,3,1,17,20,0.5882352941176471,0.7,1,0,0,0,15,16,7,5,0.5744768144253878,0.425523185574612,2,0,2,3,5,6,1,1,1,1,47,35,2,1,8,7,7,2,0.25,0.0,2,2,1,2,0,0,0,0,7,1,0,1,0.6,1,0.0,1,1,1,0,1,1,1,4,1,4,1,0,1,3.2998316455372216,1,12.083045973594572,1,home_team
11,35,0.5454545454545454,0.4,22.36272554642837,17.963461496520104,3,6,6,24,0.5454545454545454,0.6857142857142857,10,30,1,5,0,0,299,735,0.568561872909699,0.8244897959183674,5,28,27.181818181818183,21.0,3,24,0.0,0.4166666666666667,3,12,0,4,0,0,29,17,14,11,19,20,0.7368421052631579,0.55,6,3,0,0,41,11,0,0,1,0,19,19,0,1,0,0,152,63,25,22,28,24,0,3,20,26,0.75,0.6923076923076923,0,0,0,0,15,13,3,5,0.2414118819674151,0.758588118032585,0,0,0,2,0,2,0,5,0,3,18,89,0,5,5,18,3,14,0.4,0.3888888888888889,3,3,3,3,1,0,0,0,3,1,7,1,0.2,1,0.8,1,1,1,1,1,5,1,0,1,0,1,3,1,2.8284271247461903,1,2.6246692913372702,1,away_team
14,7,0.42857142857142855,0.7142857142857143,18.189425586548015,23.850150182521162,3,0,12,3,0.8571428571428571,0.42857142857142855,11,6,3,1,0,0,475,406,0.7094736842105264,0.6059113300492611,10,5,33.92857142857143,58.0,13,5,0.5384615384615384,0.4,1,2,5,0,0,1,22,12,15,8,20,14,0.75,0.5714285714285714,10,7,0,1,32,21,0,0,0,1,28,22,0,1,0,0,107,160,33,32,33,48,5,2,10,19,0.6,0.7894736842105263,0,0,0,0,10,16,3,3,0.5206263627178435,0.4793736372821566,1,0,1,0,3,1,2,0,2,0,90,38,1,1,10,5,8,3,0.5,0.6,3,2,3,2,0,1,0,0,3,1,3,1,0.2,1,0.4,1,0,1,0,1,3,1,1,1,0,1,2,1,4.109609335312651,1,2.0548046676563256,1,home_team
13,14,0.46153846153846156,0.35714285714285715,22.651554594372925,19.252440743886904,1,3,7,8,0.5384615384615384,0.5714285714285714,13,12,0,2,0,0,466,498,0.6759656652360515,0.6947791164658634,12,10,35.84615384615385,35.57142857142857,8,8,0.25,0.25,3,2,10,12,0,0,21,22,17,15,27,23,0.6296296296296297,0.6521739130434783,6,10,0,1,17,18,0,0,1,0,18,12,0,1,0,0,249,205,54,42,61,51,2,1,11,24,0.5454545454545454,0.4166666666666667,0,0,0,0,18,17,3,3,0.49878078563894007,0.50121921436106,0,0,7,6,3,7,0,1,0,0,102,85,3,4,9,9,5,6,0.5555555555555556,0.4444444444444444,3,3,3,3,1,10,1,2,0,1,0,1,0.0,1,0.2,1,0,1,0,1,2,1,2,1,1,1,0,1,12.083045973594572,1,2.943920288775949,1,home_team
10,17,0.3,0.23529411764705882,19.6922373928851,25.570650087884786,2,1,9,11,0.9,0.6470588235294118,9,15,1,2,0,0,482,482,0.7717842323651453,0.7738589211618258,8,12,48.2,28.352941176470587,5,12,0.4,0.16666666666666666,2,7,10,6,0,0,18,16,24,8,29,17,0.8275862068965517,0.47058823529411764,11,11,1,0,39,7,0,0,0,2,15,18,0,5,0,0,263,178,42,53,45,65,1,0,25,20,0.64,0.75,0,0,0,0,10,24,3,3,0.4012621918793607,0.5987378081206394,1,1,4,2,6,3,0,4,0,1,78,66,1,3,5,9,5,5,0.2,0.4444444444444444,3,1,3,1,4,1,1,1,7,1,9,1,0.8,1,1.0,1,0,1,1,1,0,1,1,1,4,1,4,1,7.483314773547883,1,6.128258770283411,1,home_team
19,7,0.3157894736842105,0.2857142857142857,19.07284903240164,18.901438774457844,2,0,15,4,0.7894736842105263,0.5714285714285714,17,6,2,1,0,0,515,378,0.6757281553398058,0.5873015873015873,14,5,27.105263157894736,54.0,13,4,0.3076923076923077,0.25,5,4,5,3,0,0,25,28,10,15,16,24,0.625,0.625,6,10,1,0,22,43,0,0,0,1,13,17,0,0,0,0,171,306,60,58,59,61,0,2,16,10,0.6875,0.8,0,0,0,0,20,15,2,2,0.6260089169796375,0.3739910830203626,0,0,4,2,1,1,7,1,6,0,178,92,5,3,11,3,9,2,0.2727272727272727,0.3333333333333333,2,2,2,2,0,0,0,0,9,1,9,1,0.6,1,0.6,1,1,1,1,1,0,1,1,1,5,1,2,1,11.897712198383164,1,1.4142135623730951,1,home_team
14,9,0.07142857142857142,0.5555555555555556,25.238858928247925,16.453192975777533,0,1,7,7,0.5,0.7777777777777778,10,5,4,4,0,0,429,426,0.662004662004662,0.6901408450704225,8,9,30.642857142857142,47.333333333333336,12,13,0.08333333333333333,0.3076923076923077,3,5,10,6,0,0,9,23,10,8,17,13,0.5882352941176471,0.6153846153846154,11,17,0,1,23,16,0,0,0,3,15,7,2,1,0,0,191,176,38,41,44,41,3,0,6,16,0.6666666666666666,0.9375,0,0,0,0,11,16,8,8,0.5663742185735993,0.43362578142640085,0,0,7,2,3,4,7,4,4,4,108,113,1,2,10,5,5,4,0.0,0.6,1,2,1,2,2,0,0,0,3,1,3,1,0.2,1,0.4,1,0,1,0,1,4,1,0,1,1,1,2,1,7.318166133366716,1,3.39934634239519,1,away_team
21,6,0.47619047619047616,0.6666666666666666,25.021664543268965,11.617460929516199,2,1,9,4,0.42857142857142855,0.6666666666666666,20,6,1,0,0,0,676,261,0.8431952662721893,0.6206896551724138,19,3,32.19047619047619,43.5,13,4,0.07692307692307693,0.25,8,1,2,6,0,0,6,18,14,10,19,18,0.7368421052631579,0.5555555555555556,9,6,1,1,9,24,0,0,0,0,19,9,2,0,0,0,96,377,29,48,35,126,2,1,19,15,0.8421052631578947,0.5333333333333333,0,0,0,0,15,14,3,6,0.6944718187206795,0.3055281812793204,0,0,2,4,0,2,1,0,0,0,163,23,3,0,10,3,4,2,0.4,0.6666666666666666,3,3,3,3,2,4,1,1,6,1,3,1,0.6,1,0.2,1,1,1,0,1,0,1,4,1,2,1,0,1,4.027681991198191,1,4.109609335312651,1,home_team
