shots_on_target_ratio_home,shots_on_target_ratio_away,average_shots_on_target_distance_home,average_shots_on_target_distance_away,shots_inside_area_ratio_home,shots_inside_area_ratio_away,pass_success_ratio_home,pass_success_ratio_away,cross_success_ratio_home,cross_success_ratio_away,tackles_success_ratio_home,tackles_success_ratio_away,dribbles_success_ratio_home,dribbles_success_ratio_away,possession_percentage_home,possession_percentage_away,set_piece_shots_on_target_ratio_home,set_piece_shots_on_target_ratio_away,last_3_matches_form_home,is_valid_last_3_matches_form_home,last_3_matches_form_away,is_valid_last_3_matches_form_away,win_rate_last_5_matches_home,is_valid_win_rate_last_5_matches_home,win_rate_last_5_matches_away,is_valid_win_rate_last_5_matches_away,win_last_home_match_home_team,is_valid_win_last_home_match_home_team,win_last_away_match_away_team,is_valid_win_last_away_match_away_team,goals_conceded_last_match_home,is_valid_goals_conceded_last_match_home,goals_conceded_last_match_away,is_valid_goals_conceded_last_match_away,goals_scored_last_match_home,is_valid_goals_scored_last_match_home,goals_scored_last_match_away,is_valid_goals_scored_last_match_away,std_shots_last_3_matches_home,is_valid_std_shots_last_3_matches_home,std_shots_last_3_matches_away,is_valid_std_shots_last_3_matches_away,winner_team,percentage_total_shots_home,percentage_shots_high_xG_home,percentage_shots_inside_area_home,percentage_shots_foot_home,percentage_shots_head_home,percentage_shots_other_home,percentage_total_passes_home,percentage_key_passes_home,difference_passes_needed_to_make_a_shot_home,percentage_crosses_home,percentage_corners_home,percentage_interceptions_won_home,percentage_recoveries_home,percentage_blocks_home,percentage_duels_won_home,percentage_tackles_home,percentage_fouls_committed_home,percentage_50_50_won_home,percentage_clearance_home,percentage_penaltys_committed_home,percentage_key_errors_home,percentage_miscontrols_home,percentage_yellow_cards_home,percentage_red_cards_home,percentage_pressures_home,percentage_counterpress_home,percentage_pressures_in_attacking_third_home,percentage_offsides_home,percentage_dribbles_home,percentage_injury_substitutions_home,percentage_players_off_home,percentage_dispossessed_home,percentage_counterattacks_home,percentage_recoveries_attacking_third_home,percentage_recoveries_middle_third_home,percentage_recoveries_defensive_third_home,percentage_shots_under_pressure_home,percentage_shots_inside_area_under_pressure_home,percentage_passes_under_pressure_home,percentage_passes_inside_area_under_pressure_home,percentage_set_piece_shots_home,percentage_set_piece_shots_inside_area_home,percentage_substitutions_home,percentage_tactical_substitutions_home,percentage_tactical_changes_home,percentage_formation_changes_home
0.5454545454545454,0.125,19.91269732773041,27.69729228643118,0.5454545454545454,0.625,0.7378917378917379,0.8236559139784946,0.4444444444444444,0.6666666666666666,0.8421052631578947,0.5789473684210527,0.65,0.6153846153846154,0.4812242546085905,0.5187757453914096,0.5,0.1666666666666666,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,home_team,0.5789473684210527,1.0,0.5454545454545454,0.6666666666666666,0.25,0.5,0.43014705882352944,0.6428571428571429,-26.21590909090909,0.6,0.4444444444444444,0.6428571428571429,1.0,0.5277777777777778,0.5925925925925926,0.5,0.3448275862068966,1.0,0.4666666666666667,0.0,0.0,0.34375,0.0,0.5,0.4246575342465753,0.4888888888888889,0.49230769230769234,0.6,0.6060606060606061,0.5,0.5,0.46153846153846156,0.5,1.0,0.7142857142857143,0.5714285714285714,1.0,1.0,0.6629213483146067,1.0,0.5,0.42857142857142855,0.5,0.5,0.0,0.5
0.5,0.2142857142857142,17.43377038247178,14.76410710025354,0.9,0.8571428571428571,0.6990291262135923,0.749498997995992,0.0,0.3333333333333333,0.6363636363636364,0.5416666666666666,0.3333333333333333,0.5294117647058824,0.4572321848734389,0.5427678151265611,0.4285714285714285,0.1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,home_team,0.4166666666666667,1.0,0.42857142857142855,0.5294117647058824,0.14285714285714285,0.5,0.38242574257425743,0.3333333333333333,-4.742857142857147,0.14285714285714285,0.36363636363636365,0.6818181818181818,0.0,0.4411764705882353,0.35,0.3142857142857143,0.5925925925925926,0.5,0.7884615384615384,0.0,1.0,0.6,0.5,0.5,0.5241379310344828,0.5,0.3392857142857143,1.0,0.5526315789473685,0.5,0.5,0.6842105263157895,0.5714285714285714,1.0,0.5714285714285714,0.75,0.42857142857142855,0.38461538461538464,0.5315315315315315,0.5,0.4117647058823529,0.42857142857142855,0.5,0.5,0.5,0.0
0.2857142857142857,0.2857142857142857,19.354708549218564,15.125791976461336,0.5,0.5714285714285714,0.7878787878787878,0.6310344827586207,0.2631578947368421,0.1666666666666666,0.3888888888888889,0.4444444444444444,0.3636363636363636,0.2727272727272727,0.6272893339501042,0.3727106660498957,0.3,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,away_team,0.6666666666666666,0.0,0.6363636363636364,0.6470588235294118,0.75,0.5,0.6454767726161369,0.6666666666666666,-3.714285714285708,0.76,0.6111111111111112,0.4375,0.5,0.32558139534883723,0.4666666666666667,0.5,0.5172413793103449,0.5,0.36,1.0,0.5,0.5769230769230769,0.0,0.5,0.51171875,0.6140350877192983,0.7164179104477612,0.5,0.5,1.0,0.5,0.4782608695652174,0.5,1.0,0.5714285714285714,0.25,1.0,1.0,0.6105263157894737,0.0,0.7692307692307693,1.0,0.625,0.5714285714285714,0.6666666666666666,0.5
0.2727272727272727,0.1666666666666666,16.403569045895967,15.734967565505622,0.2727272727272727,0.7222222222222222,0.6145454545454545,0.7378435517970402,0.125,0.1764705882352941,0.5555555555555556,0.5,0.4545454545454545,0.4210526315789473,0.3672864331305855,0.6327135668694144,0.2222222222222222,0.2,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,draw,0.3793103448275862,0.0,0.1875,0.4782608695652174,0.0,0.5,0.36764705882352944,0.375,-1.2777777777777786,0.32,0.5,0.8,0.5,0.47619047619047616,0.5882352941176471,0.5625,0.3939393939393939,0.0,0.703125,0.5,1.0,0.43902439024390244,0.5,0.5,0.502262443438914,0.3409090909090909,0.3137254901960784,0.4,0.36666666666666664,1.0,0.5,0.5263157894736842,0.5,0.5,0.3333333333333333,1.0,0.2,0.25,0.32222222222222224,0.0,0.375,0.2,0.4444444444444444,0.375,0.5,0.5
0.5454545454545454,0.3333333333333333,20.37226220942121,15.68720167285556,0.7272727272727273,0.6666666666666666,0.8125,0.5925925925925926,0.25,0.1428571428571428,0.7,0.7058823529411765,0.5454545454545454,0.4545454545454545,0.6582215565095239,0.3417784434904761,0.5555555555555556,0.4,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,home_team,0.4782608695652174,0.3333333333333333,0.5,0.45,0.6666666666666666,0.5,0.6746987951807228,0.5714285714285714,28.409090909090907,0.5333333333333333,0.6666666666666666,0.391304347826087,1.0,0.4583333333333333,0.56,0.5405405405405406,0.42857142857142855,0.5,0.5333333333333333,0.5,1.0,0.5925925925925926,0.5,0.5,0.5289256198347108,0.6206896551724138,0.6458333333333334,0.3333333333333333,0.5,0.5,0.5,0.4444444444444444,1.0,0.5,0.45454545454545453,0.38461538461538464,0.6666666666666666,0.6666666666666666,0.57,1.0,0.6428571428571429,0.6666666666666666,0.5,0.5,0.5,0.5
0.0,0.2307692307692307,120.0,20.194810524484588,0.1428571428571428,0.6153846153846154,0.6864406779661016,0.7194244604316546,0.0909090909090909,0.5714285714285714,0.6,0.55,0.4444444444444444,0.6190476190476191,0.4777761543007216,0.5222238456992784,0.0,0.1428571428571428,0,0,0,0,0.0,0,0.0,0,0,0,0,1,4,1,4,1,2,1,2,1,0.0,0,0.0,0,draw,0.35,0.0,0.1111111111111111,0.4,0.2,0.5,0.4591439688715953,0.38461538461538464,18.49450549450549,0.6111111111111112,0.42857142857142855,0.64,0.5,0.5161290322580645,0.45,0.42857142857142855,0.6206896551724138,0.5,0.4,0.5,1.0,0.6428571428571429,0.6666666666666666,0.5,0.4787234042553192,0.35384615384615387,0.42857142857142855,0.0,0.3,1.0,0.5,0.6956521739130435,0.5,0.0,0.7142857142857143,0.6470588235294118,0.0,0.0,0.5208333333333334,0.3333333333333333,0.46153846153846156,0.2,0.5,0.4444444444444444,0.5,0.5
0.2,0.4666666666666667,13.07200014960511,13.38030637085228,0.7,0.6666666666666666,0.8444846292947559,0.5502645502645502,0.4545454545454545,0.1818181818181818,0.5833333333333334,0.9090909090909092,0.5833333333333334,0.6153846153846154,0.605125170998632,0.394874829001368,0.1428571428571428,0.3636363636363636,0,0,0,0,0.0,0,0.0,0,0,0,0,1,3,1,1,1,0,1,1,1,0.0,0,0.0,0,away_team,0.4,0.2,0.4117647058823529,0.43478260869565216,0.0,0.5,0.7452830188679245,0.42857142857142855,42.699999999999996,0.5,0.45454545454545453,0.34782608695652173,0.5,0.4,0.4117647058823529,0.5217391304347826,0.5,0.5,0.5555555555555556,0.5,1.0,0.5151515151515151,0.3333333333333333,0.5,0.43119266055045874,0.7551020408163265,0.3684210526315789,0.8333333333333334,0.48,0.5,0.5,0.5,0.4,0.5,0.2,0.46153846153846156,0.5,1.0,0.5517241379310345,0.0,0.3888888888888889,0.36363636363636365,0.5714285714285714,0.5714285714285714,1.0,0.5
0.0,0.4166666666666667,120.0,18.58066318854925,0.7142857142857143,0.5833333333333334,0.7895752895752896,0.8169014084507042,0.2222222222222222,0.5555555555555556,0.6956521739130435,0.4166666666666667,0.5714285714285714,0.4666666666666667,0.5031566751461087,0.4968433248538913,0.0,0.25,0,0,0,0,0.0,0,0.0,0,0,1,0,0,1,1,2,1,1,1,4,1,0.0,0,0.0,0,away_team,0.3684210526315789,0.5,0.4166666666666667,0.25,1.0,0.5,0.548728813559322,0.2857142857142857,38.5,0.5,0.6666666666666666,0.4,0.5,0.3333333333333333,0.6,0.48936170212765956,0.4166666666666667,0.5,0.25,0.5,1.0,0.45161290322580644,1.0,0.5,0.5375,0.5833333333333334,0.6888888888888889,0.75,0.4827586206896552,0.5,0.5,0.5428571428571428,0.0,0.0,0.5,0.3333333333333333,1.0,1.0,0.6627906976744186,0.5,0.42857142857142855,0.5555555555555556,0.625,0.625,0.6666666666666666,1.0
0.8333333333333334,0.2777777777777778,20.194533807200237,13.41306917073365,0.5,0.7777777777777778,0.6824817518248175,0.8115671641791045,0.25,0.2777777777777778,0.5,0.65,0.7058823529411765,0.5909090909090909,0.3350997179517844,0.6649002820482156,1.0,0.375,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,2,1,0,0,4,1,0.0,0,0.0,0,home_team,0.25,0.3333333333333333,0.17647058823529413,0.3333333333333333,0.0,0.5,0.33827160493827163,0.17647058823529413,15.888888888888879,0.3076923076923077,0.2222222222222222,0.65,0.0,0.6666666666666666,0.4583333333333333,0.5238095238095238,0.4,0.0,0.5952380952380952,1.0,0.0,0.4230769230769231,0.3333333333333333,0.5,0.5787037037037037,0.43137254901960786,0.5,0.6666666666666666,0.4358974358974359,0.5,0.5,0.5517241379310345,0.5,0.0,0.5454545454545454,0.7777777777777778,0.0,0.0,0.2826086956521739,0.5,0.2,0.0,0.5,0.5,0.5,0.5
0.3333333333333333,0.5714285714285714,13.050474292066175,10.696796022983824,0.75,0.7142857142857143,0.7682403433476395,0.6254416961130742,0.3333333333333333,0.4,0.8421052631578947,0.6,0.4210526315789473,0.5555555555555556,0.6068141038298749,0.3931858961701251,0.25,0.4,0,0,0,0,0.0,0,0.0,0,1,1,0,0,0,1,1,1,3,1,0,1,0.0,0,0.0,0,away_team,0.631578947368421,0.6,0.6428571428571429,0.6,0.75,0.5,0.6221628838451269,0.7,-1.595238095238095,0.47368421052631576,0.7142857142857143,0.7222222222222222,0.5,0.3170731707317073,0.5714285714285714,0.48717948717948717,0.575,0.0,0.5,1.0,0.5,0.6206896551724138,0.5,0.5,0.5610687022900763,0.5373134328358209,0.5689655172413793,0.0,0.6785714285714286,0.5,0.5,0.375,0.6666666666666666,0.4,0.8888888888888888,0.75,0.8,0.8,0.5822784810126582,0.5,0.6153846153846154,0.7,0.42857142857142855,0.42857142857142855,1.0,0.5
